Key,Description,Standard,Chinese,TraditionalChinese
SAY.laolitou.165.老厉头,,报纸是时代的记录仪，是历史的收集者。,Newspapers are a record of time， a collector of histories.,Newspapers are a record of time， a collector of histories.
SAY.laolitou.166.老厉头,,你要知道某个时候发生过什么，看报最直观。,If you want to know what happened where and when， reading a newspaper is the most direct.,If you want to know what happened where and when， reading a newspaper is the most direct.
SAY.laolitou.167.老厉头,,人上了年纪容易忘事，记不清就翻翻笔记。,It's easy to forget things when you get older. I just flip through notes when I don't remember.,It's easy to forget things when you get older. I just flip through notes when I don't remember.
SAY.laolitou.168.老厉头,,这样不仅能帮助记忆，连心情也豁然开朗。,This not only helps with memory， but also makes me happier.,This not only helps with memory， but also makes me happier.
SAY.laolitou.169.老厉头,,我书店名是什么意思？,What's the meaning of the name of my bookstore?,What's the meaning of the name of my bookstore?
SAY.laolitou.170.老厉头,,棠棣就是兄弟。,Tangdi is “Brothers”,Tangdi is “Brothers”
SAY.laolitou.171.老厉头,,喜欢阅读的人，就是跟我志同道合的。,The ones who like to read， are the people who share the same interests as me.,The ones who like to read， are the people who share the same interests as me.
SAY.laolitou.172.老厉头,,就是我的兄弟。,So， my brothers.,So， my brothers.
SAY.chapterFlow06.1.主角,,对不住哦，各位。,Sorry， everyone.,Sorry， everyone.
SAY.chapterFlow06.2.主角,,是我喊你们来帮忙的，结果我自己参加不了。,I asked you all to come help， but I can't join in myself.,I asked you all to come help， but I can't join in myself.
SAY.chapterFlow06.3.葛喜,,莫讲这种的。,Don't say that.,Don't say that.
SAY.chapterFlow06.4.葛喜,,你照顾好荔荔就得了，划龙舟我们替你出力。,Just take care of Lili， we'll take care of the Dragon Boat.,Just take care of Lili， we'll take care of the Dragon Boat.
SAY.chapterFlow06.5.刘主任,,对啊，你有你的挑战，我们有我们的比赛。,Yeah， you have your challenges， we have our race.,Yeah， you have your challenges， we have our race.
SAY.chapterFlow06.6.刘主任,,各有各的任务，两边都要胜利！,Everyone has their own mission， both sides have to win!,Everyone has their own mission， both sides have to win!
SAY.chapterFlow06.7.莫子成,,荔荔那边绝对OK啦。,Lili will definitely be okay!,Lili will definitely be okay!
SAY.chapterFlow06.8.莫子成,,问题是原来我们也有赢的打算咯？,The problem is we also planned to win then?,The problem is we also planned to win then?
SAY.chapterFlow06.9.旁白1,,哈哈哈哈哈。,Hahahahaha.,Hahahahaha.
SAY.chapterFlow06.12.韦家乐,,问题是原来我们也有赢的打算咯？,The problem is we also planned to win then?,The problem is we also planned to win then?
SAY.chapterFlow06.13.韦家乐,,难不成讲我们要倒数？,I don't want to be last.,I don't want to be last.
SAY.chapterFlow06.14.吴明,,表姐夫，我会加把劲。,Cousin， I'll do my best.,Cousin， I'll do my best.
SAY.chapterFlow06.15.吴明,,为芷滨拿、拿个名次！,We will place for Zhibin!,We will place for Zhibin!
SAY.chapterFlow06.16.吴明,,不给凤表姐做的龙、龙头丢脸。,We won't bring shame to Cousin Feng's Dragon and Dragon Head!,We won't bring shame to Cousin Feng's Dragon and Dragon Head!
SAY.chapterFlow06.17.红萍,,那就争冠军，拿锦旗！,Then we go for the champion， win the flag!,Then we go for the champion， win the flag!
SAY.chapterFlow06.18.刘主任,,锦旗是第二名！,The flag is second place!,The flag is second place!
SAY.chapterFlow06.19.刘主任,,第一名奖一头烧猪！,First place wins a roast pig!,First place wins a roast pig!
SAY.chapterFlow06.20.韦家乐,,烧猪好啊。,Roast pig is good.,Roast pig is good.
SAY.chapterFlow06.21.韦家乐,,我们割两斤放在冰箱，等你们回来吃。,We'll cut off two kilos and put it in the fridge， save it for you when you come back..,We'll cut off two kilos and put it in the fridge， save it for you when you come back..
SAY.chapterFlow06.22.葛喜,,讲得好听，留给他们？,That's big talk， saving it for them?,That's big talk， saving it for them?
SAY.chapterFlow06.23.葛喜,,总共才四十斤，还不够你们这帮人送酒。,There's only fourty kilos， not even enough for you people to drink with.,There's only fourty kilos， not even enough for you people to drink with.
SAY.chapterFlow06.25.旁白1,,哈哈哈哈哈。,Hahahahaha.,Hahahahaha.
SAY.chapterFlow06.27.红萍,,没关系！,No problem!,No problem!
SAY.chapterFlow06.28.红萍,,到时候我单独烧一只给你们家！,When the time comes， I'll cook one just for you!,When the time comes， I'll cook one just for you!
SAY.chapterFlow06.29.莫子成,,阿南，那你小心点啦。,Ah Nan， be careful.,Ah Nan， be careful.
SAY.chapterFlow06.30.莫子成,,红萍老板的地炉还没有投产的。,Boss Hongping's oven hasn't even started to work yet.,Boss Hongping's oven hasn't even started to work yet.
SAY.chapterFlow06.31.莫子成,,水平不一定过关哦。,Not sure if it will meet the mark.,Not sure if it will meet the mark.
SAY.chapterFlow06.32.吴明,,我们可以先当试验田。,We can test it first!,We can test it first!
SAY.chapterFlow06.33.吴明,,测一下品种优、优势。,See if it's any good.,See if it's any good.
SAY.chapterFlow06.34.红萍,,我才懒得理你们！,I can't with you all!,I can't with you all!
SAY.chapterFlow06.35.红萍,,想吃就给钱，下定！,If you want to eat， pay a deposit!,If you want to eat， pay a deposit!
SAY.chapterFlow06.37.旁白1,,哈哈哈哈哈。,Hahahahaha.,Hahahahaha.
SAY.chapterFlow06.41.刘主任,,这几天一直下雨，水位太高。,It keeps raining these days， the water levels are too high.,It keeps raining these days， the water levels are too high.
SAY.chapterFlow06.42.刘主任,,考虑到安全问题，没有安排队伍训练。,It's too dangerous to get everyone to train together.,It's too dangerous to get everyone to train together.
SAY.chapterFlow06.43.刘主任,,等天气好了，我会监督他们的，你放心。,When the weather is better， I'll supervise， don't worry.,When the weather is better， I'll supervise， don't worry.
SAY.chapterFlow06.44.主角,,哈哈，监督什么咧。,Haha， supervise what?,Haha， supervise what?
SAY.chapterFlow06.45.主角,,大家愿意来就已经很给面子了。,You're all giving me lots of face by simply showing up.,You're all giving me lots of face by simply showing up.
SAY.chapterFlow06.46.主角,,就是为了过节高兴嘛，做做样子，走个过场。,It's just for everyone to be happy during the holiday， we'll just put up a dog and pony show.,It's just for everyone to be happy during the holiday， we'll just put up a dog and pony show.
SAY.chapterFlow06.47.主角,,真的不用在意胜负。,Really， don't need to worry about winning or losing.,Really， don't need to worry about winning or losing.
SAY.chapterFlow06.48.刘主任,,我能做的只有这点了。,I can only do this much.,I can only do this much.
SAY.chapterFlow06.49.刘主任,,帮不到你们什么。,Can't really help you.,Can't really help you.
SAY.chapterFlow06.50.主角,,不用的。,Don't worry.,Don't worry.
SAY.chapterFlow06.51.主角,,又不是多大的事。,It's not a big deal.,It's not a big deal.
SAY.chapterFlow06.52.主角,,人总会生病的嘛。,People get sick.,People get sick.
SAY.chapterFlow06.53.主角,,病了就去治，就是这么简单。,When you get sick， you get treated， that easy.,When you get sick， you get treated， that easy.
SAY.chapterFlow06.55.刘主任,,弟啊，你跟小凤，都是我看着长大的。,Brother， I watched you and Xiao Feng grow up.,Brother， I watched you and Xiao Feng grow up.
SAY.chapterFlow06.56.刘主任,,你们两个性格不一样。,You two have different personalities.,You two have different personalities.
SAY.chapterFlow06.6411.刘主任,,小凤脾气好，性格好，但是有点多愁善感。,Xiao Feng always had a good temper， easy to get along with， but sentimental.,Xiao Feng always had a good temper， easy to get along with， but sentimental.
SAY.chapterFlow06.6412.刘主任,,你火气大，没有耐心，好在心宽，能吃苦。,You get upset easily， are impatient， but you have a kind heart and work hard.,You get upset easily， are impatient， but you have a kind heart and work hard.
SAY.chapterFlow06.57.主角,,哈哈，这样算表扬还是批评。,Haha， does this count as praise or criticism?,Haha， does this count as praise or criticism?
SAY.chapterFlow06.58.刘主任,,我想讲的是，你扛了这么多年，已经尽力了。,What I'm saying is， you've carried it for all these years， you've done your best.,What I'm saying is， you've carried it for all these years， you've done your best.
SAY.chapterFlow06.59.刘主任,,不管这次结果怎么样，你做得够好了。,No matter what， you've done well.,No matter what， you've done well.
SAY.chapterFlow06.6413.刘主任,,不要背负太多的东西。,Don't carry too many things.,Don't carry too many things.
SAY.chapterFlow06.62.主角,,……,...,...
SAY.chapterFlow06.63.主角,,不够，不够好。,No， not enough.,No， not enough.
SAY.chapterFlow06.67.主角,,什么都没有做成。,I didn't do anything.,I didn't do anything.
SAY.chapterFlow06.70.主角,,我做人家老公，做人家老头，一点用都没有。,As husband， as father， I'm useless.,As husband， as father， I'm useless.
SAY.chapterFlow06.93.UI旁白1,,{wvo}女的救上来就不行了。{w=3},{wvo}The woman didn't make it after we got her out of the water.{w=3},{wvo}The woman didn't make it after we got her out of the water.{w=3}
SAY.chapterFlow06.94.UI旁白1,,{wvo}男的倒是不算太严重，已经醒了。{w=3},{wvo}The man isn't too injured， already conscious.{w=3},{wvo}The man isn't too injured， already conscious.{w=3}
SAY.chapterFlow06.95.UI旁白2,,{wvo}干嘛咧？游泳事故吗？{w=3},{wvo}What? Swimming accident?{w=3},{wvo}What? Swimming accident?{w=3}
SAY.chapterFlow06.96.UI旁白3,,{wvo}不是。{w=3},{wvo}No{w=3},{wvo}No{w=3}
SAY.chapterFlow06.97.UI旁白3,,{wvo}那个村有条吊桥，本来是走人和单车的。{w=3},{wvo}That village has a suspension bridge， for walking and bicycles.{w=3},{wvo}That village has a suspension bridge， for walking and bicycles.{w=3}
SAY.chapterFlow06.98.UI旁白3,,{wvo}这帮司机图方便，整天偷偷开汽车过去。{w=3},{wvo}These drivers wanted a shortcut， drove their cars over it.{w=3},{wvo}These drivers wanted a shortcut， drove their cars over it.{w=3}
